CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManIBlo,CenManFTip,CenManNom,CenBar,CenPotMax,CenPotMin,CenCosVar,CenRenTer,CenCosOpe,CenDisEne,CenFacCol,CenConPro%
572,T,SemJun04-2031,SemJun04-*,*,T,Eolica Mulchen 01,*,0,*,*,*,*,*,*,*
573,T,SemMay02-2028,SemMay02-*,*,T,Eolica Maitencillo 02,*,0,*,*,*,*,*,*,*
574,T,SemMay02-2029,SemMay02-*,*,T,Eolica Puerto Montt 01,*,0,*,*,*,*,*,*,*
575,T,SemMay02-2018,SemMay02-*,*,T,DAS,*,0,*,*,*,*,*,*,*
576,T,SemMay02-2018,SemMay02-*,*,T,Degañ 2,*,0,*,*,*,*,*,*,*
577,T,SemMay02-2018,SemMay02-*,*,T,Santuario Solar,*,0,*,*,*,*,*,*,*
578,T,SemMay02-2018,SemMay02-*,*,T,PV El Roble,*,0,*,*,*,*,*,*,*
579,T,SemMay02-2018,SemMay02-*,*,T,Homero,*,0,*,*,*,*,*,*,*
580,T,SemJul03-2018,SemJul03-*,*,T,El Pilpen,*,0,*,*,*,*,*,*,*
581,T,SemJul03-2018,SemJul03-*,*,T,Chimbarongo,*,0,*,*,*,*,*,*,*
582,T,SemMay02-2018,SemMay02-*,*,T,Francisco,*,0,*,*,*,*,*,*,*
583,T,SemMay02-2018,SemMay02-*,*,T,PV La Frontera,*,0,*,*,*,*,*,*,*
584,T,SemMay02-2018,SemMay02-*,*,T,El Cernicalo,*,0,*,*,*,*,*,*,*
585,T,SemMay02-2018,SemMay02-*,*,T,Los Gorriones,*,0,*,*,*,*,*,*,*
586,T,SemNov01-2018,SemNov02-*,*,T,Aurora,*,0,*,*,*,*,*,*,*
587,T,SemAgo01-2018,SemAgo02-*,*,T,Sarco,*,0,*,*,*,*,*,*,*
588,T,SemJun03-2018,SemJun03-*,*,T,La Fortuna 1,*,0,*,*,*,*,*,*,*
589,T,SemJun03-2018,SemJun03-*,*,T,Chancon,*,0,*,*,*,*,*,*,*
590,T,SemJun03-2018,SemJun03-*,*,T,PV Luna,*,0,*,*,*,*,*,*,*
591,T,SemJun03-2018,SemJun03-*,*,T,La Manga I,*,0,*,*,*,*,*,*,*
592,T,SemJul03-2018,SemJul03-*,*,T,El Pitio,*,0,*,*,*,*,*,*,*
593,T,SemJul03-2018,SemJul03-*,*,T,Portezuelo,*,0,*,*,*,*,*,*,*
594,T,SemJun04-2018,SemJun04-*,*,T,Peralillo,*,0,*,*,*,*,*,*,*
595,T,SemNov01-2018,SemNov01-*,*,T,CERN,*,0,*,*,*,*,*,*,*
