DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
52,F,2023,2023,Alto Jahuel 220,0,F,EtaMes,0.192526097,0.171456758,0.127941724,0.167867812,0.134253544,0.148522365,0.144100099,0.139282038,0.255092685,0.11571169,0.116276662,0.212876789
53,F,2024,2024,Alto Jahuel 220,0,F,EtaMes,0.193566038,0.172382891,0.128632809,0.16877456,0.134978722,0.149324618,0.144878464,0.140034378,0.256470583,0.116970598,0.117541716,0.215192822
54,F,2025,2025,Alto Jahuel 220,0,F,EtaMes,0.195671976,0.174258364,0.130032294,0.170610775,0.136447249,0.150949223,0.146454696,0.141557908,0.259260904,0.118932354,0.119513051,0.218801898
55,F,2026,2026,Alto Jahuel 220,0,F,EtaMes,0.198953662,0.177180914,0.132213112,0.17347215,0.138735655,0.153480847,0.148910941,0.143932027,0.263609062,0.120315571,0.120903021,0.221346626
56,F,2027,2027,Alto Jahuel 220,0,F,EtaMes,0.201267549,0.179241577,0.133750788,0.17548968,0.140349189,0.155265872,0.150642817,0.145605997,0.266674909,0.1215608,0.12215433,0.223637495
57,F,2028,2028,Alto Jahuel 220,0,F,EtaMes,0.203350606,0.181096672,0.135135067,0.177305944,0.14180176,0.156872826,0.152201924,0.147112974,0.269434912,0.122689222,0.123288262,0.225713474
58,F,2029,2029,Alto Jahuel 220,0,F,EtaMes,0.205238266,0.182777754,0.136389497,0.178951837,0.143118075,0.158329043,0.153614782,0.148478592,0.271936019,0.121329999,0.121922402,0.223212887
59,F,2030,2030,Alto Jahuel 220,0,F,EtaMes,0.202964515,0.180752834,0.134878494,0.176969302,0.141532529,0.15657498,0.151912946,0.146833659,0.268923351,0.119286253,0.119868678,0.219452973
60,F,2031,*,Alto Jahuel 220,0,F,EtaMes,0.199545675,0.177708139,0.13260653,0.17398834,0.139148481,0.15393755,0.149354046,0.144360316,0.264393466,0.118923671,0.119504325,0.218785925
61,F,2017,2017,Candelaria 220,0,F,EtaMes,155.2258132,184.0941343,169.0883888,174.8038101,174.3002472,174.9401436,176.7195472,167.544595,167.8074445,165.7782944,137.614998,171.2464192
62,F,2018,2018,Candelaria 220,0,F,EtaMes,156.1662036,185.1916166,170.0512958,176.0884502,175.5624139,176.2084625,178.2007174,168.949997,169.2472172,168.2725336,139.682274,173.8053565
63,F,2019,2019,Candelaria 220,0,F,EtaMes,158.4480143,187.8939134,172.5234978,178.7072034,178.1695343,178.825485,180.8879102,171.497922,171.8061456,163.9786865,136.0956433,169.2488024
64,F,2020,2020,Candelaria 220,0,F,EtaMes,153.9359449,182.5183027,167.5241984,173.935423,173.385761,174.0262314,176.3139933,167.1630256,167.5085511,159.0527418,131.982097,164.0273151
65,F,2021,2021,Candelaria 220,0,F,EtaMes,148.7821779,176.3792602,161.8176278,168.4713562,167.9091707,168.5318215,171.06474,162.1880072,162.5741561,158.4418979,131.4667534,163.351294
66,F,2022,2022,Candelaria 220,0,F,EtaMes,148.0330032,175.4815753,160.9698394,167.7440921,167.1743176,167.7950539,170.423626,161.5807623,161.9825518,160.4302765,133.113581,165.3848219
67,F,2023,2023,Candelaria 220,0,F,EtaMes,149.8272361,177.6050827,162.909077,169.8205371,169.240129,169.8688257,172.5680377,163.6141205,164.0270705,160.3326449,133.0246764,165.2411938
68,F,2024,2024,Candelaria 220,0,F,EtaMes,149.5702085,177.2914799,162.5987945,169.6423267,169.0531776,169.6819365,172.4778176,163.5291421,163.9578156,162.5363971,134.8461844,167.4748605
69,F,2025,2025,Candelaria 220,0,F,EtaMes,151.4811304,179.548767,164.6492195,171.9086304,171.303438,171.9412277,174.8614327,165.7895777,166.2381005,163.9573546,136.0131978,168.8744109
70,F,2026,2026,Candelaria 220,0,F,EtaMes,152.5562454,180.809654,165.7713997,173.2990377,172.67489,173.318924,176.4123749,167.2608989,167.7373455,165.9922127,137.6917081,170.918393
71,F,2027,2027,Candelaria 220,0,F,EtaMes,154.2493393,182.8054949,167.5738121,175.3594341,174.7165587,175.3691229,178.61968,169.3543757,169.8560255,168.4501116,139.7247591,173.4177027
72,F,2028,2028,Candelaria 220,0,F,EtaMes,156.4116854,185.3615771,169.9002287,177.9011133,177.2420468,177.9046001,181.2754141,171.8727635,172.393561,170.9188045,141.7661426,175.9247457
73,F,2029,2029,Candelaria 220,0,F,EtaMes,158.5710156,187.9133798,172.2209328,180.4483066,179.7722918,180.4449116,183.9439275,174.4033117,174.9445464,169.4436521,140.536831,174.3749959
74,F,2030,2030,Candelaria 220,0,F,EtaMes,157.0813021,186.1414463,170.5803293,178.836229,178.1594064,178.8265459,182.367167,172.9087422,173.4569732,166.7767898,138.3186786,171.5964875
75,F,2031,*,Candelaria 220,0,F,EtaMes,154.4776937,183.0490516,167.7283977,175.9622612,175.2888905,175.9458821,179.5086191,170.1988958,170.7511469,166.4484273,138.0396218,171.2220339
